Modelo	lmk_name	dst_euclidea	Metodo
DID1	MsoR	4.001342849697944	VRN
DID1	FzgyL	7.367744601278202	VRN
DID1	ChL	10.218620007411447	VRN
DID1	Gl	0.7907412467222302	VRN
DID6	Gl	3.5519230725565554	VRN
DID6	AlL	2.917828612556094	VRN
DID6	Na	3.8859441440344784	VRN
DID6	Prn	0.9503492790990341	VRN
DID6	AlR	14.350571732695679	VRN
DID6	EnL	7.597957202182612	VRN
DID6	Sbn	3.0568897868390605	VRN
DID6	Ls	6.923176094721074	VRN
DID6	St	6.55594776263772	VRN
DID6	Li	2.7442721627750184	VRN
DID6	ChL	5.798853814726227	VRN
DID6	ChR	5.707397238890594	VRN
DID6	ExL	11.274420807892332	VRN
DID6	EnR	7.430192972795363	VRN
DID6	ExR	11.17133375275588	VRN
